+|10
<|14
=|91
abd|3
ability|3
about|3
abuse|8
accelerated|5
acceleration|3
accidents|4
according|5
accuracy|4
acetyl|3
achieve|3
acquired|20
acquisition|17
activities|3
adas|3
additional|4
adjusted|9
administered|4
administration|3
adni|16
adolescents|3
adults|4
adult|12
ad|25
affairs|3
affected|3
affine|4
african|3
africa|5
after|12
aged|18
age|25
aging|11
aims|3
alcoholism|4
alcohol|6
aligned|6
alleles|7
allowable|3
all|14
along|5
also|11
als|12
alteration|3
although|3
alzheimer|28
al|26
american|4
amnestic|3
among|4
amyloid|5
amyotrophic|5
analyses|9
analysis|36
analyze|4
anatomical|4
anatomy|3
ancova|3
angle|4
anisotropy|10
another|3
anterior|6
apoe|10
appendix|3
application|10
applied|3
approach|5
approved|3
approximately|3
arranged|3
artery|5
article|4
aspartate|3
assault|3
assessed|6
assessment|7
assignment|4
associated|26
association|5
atherosclerosis|7
atlas|6
atrophy|23
attenuation|4
audiovestibular|3
austin|4
automatically|3
available|8
averaged|5
average|5
axial|10
a§|19
background|3
based|16
baseline|17
battery|4
because|8
been|3
beginning|3
behavioral|3
below|3
bernstein|3
beta|7
between|17
bilateral|5
biological|3
biomarker|8
bipolar|5
birdcage|4
blanchard|3
blood|4
boards|4
body|3
boost|4
both|10
brains|3
brain|63
bruce|3
bruker|5
burden|4
bwb|3
b|11
calibrated|4
california|41
callosum|5
can|10
caps|3
cardenas|6
cardiovascular|6
care|4
carotid|10
case|3
cause|3
cdr|6
cell|9
center|36
cerebellum|3
cerebrospinal|3
changes|33
change|7
channel|8
characteristics|4
charles|4
chipato|3
chui|4
cimt|10
cingulate|5
cingulum|4
ci|5
classified|3
clinicaltrials.gov|3
clinical|14
clinics|5
clinic|4
clusters|5
cm|5
cn|7
cognition|9
cognitively|12
cognitive|33
cog|3
coil|10
colleagues|3
collected|6
collinear|4
combined|9
common|5
community|3
compared|18
comperterized|3
complain|3
completed|4
complete|4
compliance|3
complications|3
comprehension|4
compulsive|3
computer|4
concealed|3
concerning|3
conclusions|3
conclusion|6
concordance|4
concordant|3
condoms|11
condom|8
conform|3
confounds|3
consciousness|3
consent|7
consistent|3
consists|3
constructed|3
contacted|4
continuous|6
contraindicating|4
contrast|3
controls|17
control|10
coregistered|3
core|4
coronal|5
coronary|3
corpus|5
corrected|8
correction|10
correlated|4
corresponding|3
cortex|3
cortical|11
coughing|3
council|3
counseling|8
countries|4
course|3
covered|3
co|4
creasman|3
create|4
criteria|13
cross|5
csf|9
cst|4
currently|3
current|11
cvlt|4
c|5
damage|4
dataset|13
data|44
davis|4
day|3
death|3
declined|3
decline|13
decrease|4
deficits|3
deformations|5
deformation|8
degeneration|10
degradation|4
degs|3
delayed|5
delis|3
demented|3
dementia|23
demographic|3
dense|3
density|3
dependent|4
depression|3
derived|4
described|7
describing|3
description|4
detailed|3
details|5
determinant|3
determine|12
developing|3
diagnoses|5
diagnosis|8
diaries|3
diary|3
did|7
diet|4
differences|3
differentially|4
differentiation|3
different|5
diffuse|3
diffusion|34
diffusivity|8
digit|3
directions|3
discordance|5
diseases|14
disease|36
disorders|12
disorder|12
dissease|3
